"RelativePath","DestinationPath","FileName","Length","LastWriteUtc","Action"
"1980s_0028_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0028_a.jpg","1980s_0028_a.jpg","1051491","2026-08-17T00:13:06.4477589Z","REVIEW ONLY - DO NOT DELETE YET"
"1980s_0030_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0030_a.jpg","1980s_0030_a.jpg","1171344","2026-08-17T00:13:06.3454053Z","REVIEW ONLY - DO NOT DELETE YET"
"1980s_0031_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0031_a.jpg","1980s_0031_a.jpg","972243","2026-08-17T00:12:56.8808522Z","REVIEW ONLY - DO NOT DELETE YET"
"1980s_0032_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0032_a.jpg","1980s_0032_a.jpg","939301","2026-08-17T00:12:56.8952442Z","REVIEW ONLY - DO NOT DELETE YET"
"1980s_0034_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1980s_0034_a.jpg","1980s_0034_a.jpg","911764","2026-08-17T00:12:56.9608560Z","REVIEW ONLY - DO NOT DELETE YET"
"1982_0002.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1982_0002.jpg","1982_0002.jpg","846965","2026-08-17T00:12:57.0011291Z","REVIEW ONLY - DO NOT DELETE YET"
"1984_0004_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1984_0004_a.jpg","1984_0004_a.jpg","1155744","2026-08-17T00:12:56.7327682Z","REVIEW ONLY - DO NOT DELETE YET"
"1985_0002_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1985_0002_a.jpg","1985_0002_a.jpg","1374353","2026-08-17T00:12:56.5168079Z","REVIEW ONLY - DO NOT DELETE YET"
"1985_0058_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1985_0058_a.jpg","1985_0058_a.jpg","1349534","2026-08-17T00:12:56.5329573Z","REVIEW ONLY - DO NOT DELETE YET"
"1986_0005_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1986_0005_a.jpg","1986_0005_a.jpg","919715","2026-08-17T00:13:06.6055438Z","REVIEW ONLY - DO NOT DELETE YET"
"1986_December_0001_a.jpg","C:\Users\rbell\OneDrive\Documents\GitHub\bell-family-archive\images\1986_December_0001_a.jpg","1986_December_0001_a.jpg","1138321","2026-08-17T00:13:06.4041471Z","REVIEW ONLY - DO NOT DELETE YET"
